O.S;Frota;Modelo;Descrição da O.S
151985520;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_2_8,00 - Montar freios

"
151985522;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_2_8,00 - Desmontar sistema hidráulico

"
151985524;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_2_8,00 - Montar sistema hidráulico

"
151985525;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_2_8,00 - Revisar sistema hidráulico

"
151988626;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_4,00_2 -  DESMONTAR BOMBA CENTRIFUGA
"
151988635;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_4,00_2 -  MONTAR BOMBA CENTRIFUGA

"
151988647;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_8,00_1 - REVISAR ESTRUTURA E CHASSIS
"
151988653;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_2,00_1 - REVISAR CABEÇALHO ( AJUSTE DE FOLGA NA PONTEIRA GIRATORIA, DEFORMAÇÕES E TRINCOS SEGUIR A POP 0039 )

"
151988659;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_ELE_8,00_01 - REVISAR SISTEMA ELETRICO 
"
151988665;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_6,00_1 - REVISAR CUBO DE RODA
"
151988671;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_2,00_1 - DESMONTAR CUBO DE RODA
"
165487815;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA 10,00_2 -  REVISAR CUBO DE RODAS 8115705_04 8115704_4 8115710_4
"
165487817;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA 10,00_2 -  REVISAR CUBO DE RODAS 8115705_04 8115704_4 8115710_4
"
165487818;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA 10,00_2 -  REVISAR CUBO DE RODAS 8115705_04 8115704_4 8115710_4
"
165487819;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA 10,00_2 -  REVISAR CUBO DE RODAS 8115705_04 8115704_4 8115710_4
"
165487820;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA 10,00_2 -  REVISAR CUBO DE RODAS 8115705_04 8115704_4 8115710_4
"
165487821;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA 10,00_2 -  REVISAR CUBO DE RODAS 8115705_04 8115704_4 8115710_4
"
151988677;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_2,00_1 - MONTAR CUBO DE RODA
"
151991880;163512;Case Puma 230 4x4;"E_SAFRA_24/25_ELE_1,00_1,00 - Inspeção realizada no sistema Elétrico. Corrigir os códigos ativos no painel 3162.
"
151991919;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_2,00_2,00 Inspeção realizada no sistema de lataria. Corrigir a acarenagem L/D, Está quebrada. OBS. PEDIR PARA O FUNILEIRO ANALISAR E SE HOVER NECESSIDADE DE PEDIR ALGUM MATERIAL PARA REPARAR, PROCUPAR UM INSPETOR.
"
151994384;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_16,00_1,00 - Inspeção realizada no sistema da lataria.Pedir para o funileiro Corrigir grade dianteria, Está danificada.
"
151994942;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_10,00_2,00 - Inspeção realizada no sistema de arrefecimento. Revisar sistema, trocar liquido, verificar possiveis vazamentos.
"
151994943;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_10,00_2,00 - Inspeção realizada no sistema de arrefecimento. Revisar sistema, trocar liquido, verificar possiveis vazamentos.
"
165487831;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_1 - REVISAR SISTEMA ELETRICO 8136387_1 8136302_1 8136354_1 8156306_30
"
165487832;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_1 - REVISAR SISTEMA ELETRICO 8136387_1 8136302_1 8136354_1 8156306_30
"
165487833;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_1 - REVISAR SISTEMA ELETRICO 8136387_1 8136302_1 8136354_1 8156306_30
"
165487834;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_1 - REVISAR SISTEMA ELETRICO 8136387_1 8136302_1 8136354_1 8156306_30
"
165487835;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_1 - REVISAR SISTEMA ELETRICO 8136387_1 8136302_1 8136354_1 8156306_30
"
165487836;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_1 - REVISAR SISTEMA ELETRICO 8136387_1 8136302_1 8136354_1 8156306_30
"
165487839;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA - 8,00_2 - REVISAR RODA REGULADORA DE PROFUNDIDADE 8117758_02 8117638_02 8117757_02
"
165487841;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA - 8,00_2 - REVISAR RODA REGULADORA DE PROFUNDIDADE 8117758_02 8117638_02 8117757_02
"
165487842;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA - 8,00_2 - REVISAR RODA REGULADORA DE PROFUNDIDADE 8117758_02 8117638_02 8117757_02
"
165487843;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA - 8,00_2 - REVISAR RODA REGULADORA DE PROFUNDIDADE 8117758_02 8117638_02 8117757_02
"
165487844;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA - 8,00_2 - REVISAR RODA REGULADORA DE PROFUNDIDADE 8117758_02 8117638_02 8117757_02
"
165487845;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA - 8,00_2 - REVISAR RODA REGULADORA DE PROFUNDIDADE 8117758_02 8117638_02 8117757_02
"
151994989;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_10,00_2,00 - Inspeção realizada no sistema do motor. Revisar admissão de ar, Regular válvulas,verificar possíveis vazamentos.  
"
151994990;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_10,00_2,00 - Inspeção realizada no sistema do motor. Revisar admissão de ar, Regular válvulas,verificar possíveis vazamentos.  
"
151995026;163509;Case Puma 230 4x4;"E_SAFRA_24/25_ELE_5,00_1,00 - Inspeção relizada no sistema do ar condicionado. higienizar o sistema, corrigir possiveis vazamentos.
"
151995027;163512;Case Puma 230 4x4;"E_SAFRA_24/25_ELE_5,00_1,00 - Inspeção relizada no sistema do ar condicionado. higienizar o sistema, corrigir possiveis vazamentos.
"
151995062;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_8,00_2,00 - Inspeção realizada no sistema da transmissão. Revisar cubos dianteiros L/E e L/D folgas planetárias, vazamentos.
"
151995063;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_8,00_2,00 - Inspeção realizada no sistema da transmissão. Revisar cubos dianteiros L/E e L/D folgas planetárias, vazamentos.
"
165487854;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -REVISAR ESTEIRA CENTRAL 8117191_04 8152927_01 8063275_04 8152879_01 8117192_09 8143764_01
"
165487859;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -REVISAR ESTEIRA CENTRAL 8117191_04 8152927_01 8063275_04 8152879_01 8117192_09 8143764_01
"
165487860;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -REVISAR ESTEIRA CENTRAL 8117191_04 8152927_01 8063275_04 8152879_01 8117192_09 8143764_01
"
165487861;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -REVISAR ESTEIRA CENTRAL 8117191_04 8152927_01 8063275_04 8152879_01 8117192_09 8143764_01
"
165487862;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -REVISAR ESTEIRA CENTRAL 8117191_04 8152927_01 8063275_04 8152879_01 8117192_09 8143764_01
"
165487863;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -REVISAR ESTEIRA CENTRAL 8117191_04 8152927_01 8063275_04 8152879_01 8117192_09 8143764_01
"
165488031;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA_10,00_2 - REVISAR EIXO TANDEM 8128121_02 8125640_02 8125642_02 8184878_01
"
165488032;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA_10,00_2 - REVISAR EIXO TANDEM 8128121_02 8125640_02 8125642_02 8184878_01
"
165488033;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA_10,00_2 - REVISAR EIXO TANDEM 8128121_02 8125640_02 8125642_02 8184878_01
"
165488034;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA_10,00_2 - REVISAR EIXO TANDEM 8128121_02 8125640_02 8125642_02 8184878_01
"
165488035;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA_10,00_2 - REVISAR EIXO TANDEM 8128121_02 8125640_02 8125642_02 8184878_01
"
165488036;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA_10,00_2 - REVISAR EIXO TANDEM 8128121_02 8125640_02 8125642_02 8184878_01
"
151995096;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_4,00_2,00 - Inspeção realizada no sistema elétrico. Revisar chicotes, iluminação, código de falhas ativos.
"
151995097;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_4,00_2,00 - Inspeção realizada no sistema elétrico. Revisar chicotes, iluminação, código de falhas ativos.
"
151995138;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_4,00_2,00 - Inspeção realizada no sistema da cabine. Revisar assento , consoles, coluna de direção.
"
151995139;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_4,00_2,00 - Inspeção realizada no sistema da cabine. Revisar assento , consoles, coluna de direção.
"
152562890;120033;Volkswagen 31.330 CRC 6x4;"material encaminhado duplicado 
"
152563704;10802160;Case Puma 215 4x4 ;"DIA-MU-158 - Trocar tampa rolamento do facão
"
152564108;96660;Volkswagen 31.320 CNC 6x4;"BAR-MU-101 - Escapou o varão do câmbio / Qth: Faz São Pedro
"
152564112;102773;John Deere 8270R 4X4;"Número da Amostra: 2401003998 Status da amostra: CRITICO Nome do compartimento: Nome do compartimento: 103 Subsistema lubrificação
Avaliação:  Encontrada alta concentração de Ferro e Silício. O resultado indica contaminação externa e desgaste acentuado do motor. Ocorreu uma variação dos valores de aditivação do óleo.
Ações de inspeção:  É recomendado inspecionar todo sistema de admissão de ar como, filtros de ar danificados, assentamento da tampa e aperto das abraçadeiras, além de verificar o nível de óleo no cárter e possível presença de partículas de desgaste no filtro de óleo. Enviar nova amostra com 125 horas. Informar as horas trabalhadas do óleo. Verificar o motivo da adição de óleo no período. ****LAUDO SERÁ TRATADO NA REFORMA - REGULARIZAÇÃO DA OS 119883483***

"
152564269;72635;Volvo FMX 540 6X4 CAV;"A_FR_S_2,00_01 - Inspeção realizada sistema de freio. CONJUGAR FREIO (MANEQUIM),- OBS: CAMINHÃO PRANCHA QUANDO ESTÁ PARADO NÃO TRAVA A CARRETA. 
"
152564499;96376;M.Benz Atego 2730K 6x4;"A_OT_S_1,00_01 - Inspeção realizada sistema de estrutura. Banco do L/D rasgado. 
"
152564800;72635;Volvo FMX 540 6X4 CAV;"A_OT_S_1,00_01 - Inspeção realizada sistema de chassi. Fazer apoio para acesar a plataforma onde engata as mangueiras de ar e mangueira hidraulica, está quebrado. 
"
152565816;105130;Volkswagen 31.320 CNC 6x4;"Fixa - arrumar partida, ar condicionado,bomba de direção vazando, pino molejo dianteiro direito,coxim da cabine, verificar cabo do cambio esta duro para trocar as marchas.
"
165488142;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA 32,00_2 - REVISAR ESTRURA DA PLANTADORA ( SERVIÇO DE SOLDA )  ( CHAPA 1/8 - 6004293_03 TUBO 60X60 6015188_03 )
"
165488155;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA 32,00_2 - REVISAR ESTRURA DA PLANTADORA ( SERVIÇO DE SOLDA )  ( CHAPA 1/8 - 6004293_09 TUBO 60X60 6015188_03 )
"
165488156;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA 32,00_2 - REVISAR ESTRURA DA PLANTADORA ( SERVIÇO DE SOLDA )  ( CHAPA 1/8 - 6004293_09 TUBO 60X60 6015188_03 )
"
165488157;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA 32,00_2 - REVISAR ESTRURA DA PLANTADORA ( SERVIÇO DE SOLDA )  ( CHAPA 1/8 - 6004293_09 TUBO 60X60 6015188_03 )
"
165488158;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA 32,00_2 - REVISAR ESTRURA DA PLANTADORA ( SERVIÇO DE SOLDA )  ( CHAPA 1/8 - 6004293_09 TUBO 60X60 6015188_03 )
"
165488159;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA 32,00_2 - REVISAR ESTRURA DA PLANTADORA ( SERVIÇO DE SOLDA )  ( CHAPA 1/8 - 6004293_03 TUBO 60X60 6015188_03 )
"
152566770;98695;Implemento Munck;"A_SS_S_MEC_1_1,00 - Inspeção realizada na estrutura, reapertar porca de fixação da camisa do cilindro de esticar a lança, está solto, resultando no balanço do cilindro. IMPLEMENTO FIXADO NO CAMINHÃO FROTA 96485
"
152566771;98695;Implemento Munck;"A_SS_S_MEC_2_2,00 - Inspeção realizada no sistema hidráulico, verificar problema de fuga interna do sistema hidráulico de içamento de carga, a haste está descendo e não mantem o sistema estático nem sem carga. NECESSÁRIO ORÇAMENTO DE TERCEIRO      IMPLEMENTO FIXADO NO CAMINHÃO FROTA 96485.
"
152566895;131232;M.B Axor 3344 Plataforma;"BAR-MU-101 - Reserva de válvula PU do freio
"
152568943;96660;Volkswagen 31.320 CNC 6x4;"PLANTIO-ROLAMENTO NA BASE DO VOLANTE, VERIFICAR BUZINA, VERIFICAR AR CONDICIONADO.DAVI MORAIS.
"
152569661;11802274;Case Puma 215 4x4 ;"Fixa - Trocado pastilhas de freio estacionário
"
152570955;120031;Volkswagen 31.330 CRC 6x4;"SETOR-CAMINHÕES  -  MOTIVO-VAZAMENTO NO PISTÃO DE LEVANTAMENTO / PROBLEMA NA CAIXA DE MARCHAS (NÃO ENGATA A TERCEIRA E QUINTA MARCHA)  -  SOLICITANTE-ÉRICA DE SOUZA
"
152571522;96356;M.Benz Atego 2730K 6x4;"SETOR-CAMINHÕES  -  MOTIVO-VAZAMENTO DE AR NA VÁLVULA  -  SOLICITANTE-SEBASTIÃO BREGADIOLLI
"
152571920;72531;Volkswagen 15-190 Worker;"Troca de bateria
"
152572510;434044;Volkswagen 31.330 CRC 6x4;"A_OT_P_MEC_1_2,00 - Inspeção realizada na cabine, reformar assento do banco do motorista, está com a espuma danificada.
"
152573184;72202;John Deere 8270R 4X4;"DIA-PL-158 - Troca da cinda do tanque 
"
152574763;14803019;Transbordo TMA VTX 14000;"Fixa - Substituição e solda do eixo traseiro lado esquerdo.
"
152573966;72531;Volkswagen 15-190 Worker;"Ordem referente a OS de laudo - 119883654.
"
152575218;139291;Volkswagen 31.320 CNC 6x4;"Número da Amostra: 2401004433 Status da amostra: ANORMAL Nome do compartimento: Nome do compartimento: 103 Subsistema lubrificação
Avaliação:  Encontrada moderada concentração de Ferro. O resultado indica desgaste anormal do motor. Ocorreu uma variação dos valores de aditivação do óleo.
Ações de inspeção: Na próxima parada programada do equipamento, verificar o nível de óleo no cárter e abrir o filtro de óleo a fim de identificar possível presença de partículas de desgaste. Trocar o óleo. Enviar nova amostra no intervalo recomendado. Informar as horas trabalhadas do compartimento e do óleo. ****REGULARIZAÇÃO DA OS 152567494 - EQUIPAMENTO EM MANUTENÇÃO NA FIXA NÃO ANDA****

"
152574726;50929;Case Puma 230 4x4;"Fixa - Corrigir eixo dianteiro.
"
152575144;103075;Grade Intermed. Baldan;"serviços de trocas feitos em varios equipmntos ,98406,9641,71892,98292
"
152575112;72202;John Deere 8270R 4X4;"DIA-PR-000 - Troca dos filtros do ar condicionado (Ar Condicionado) Responsável pela solicitação da reserva GOM Wender
"
152575166;102772;John Deere 8270R 4X4;"DIA-PR-001 - Corrigir corrente // Reserva de material fora do horário administrativo para frotas em campo. Responsável pela solicitação da reserva GOM Wender
"
152575200;101732;Hidro Roll Setorial;"BAR-VN-000 - Trocar corrente do carrinho
"
152576469;72202;John Deere 8270R 4X4;"DIA-PR-000 - Troca do cardã do implemento 74083, troca das faquinhas e substituição dos facões da relha	
"
152576475;103800;Distrib.T.Filtro ATA1102 ;"CAMPO- TROCA DA CORRENTE, ORDEM DE SERVIÇO DA CIA REFERENTE A FROTA 93185 OS152576159.
"
152577189;530339;Motobomba MWM 6.12 TCE;"MATERIAL PARA CONSERTO DE FROTA EM CAMPO 
"
152577548;107311;Hidro Roll Hirrigabrasil;"COMPRA DE  RODA 
"
152577800;106611;John Deere 6110J;"CAMPO-TROCA DE FILTRO DE COMBUSTIVÉL.JACKSON QUINTILIANO.
"
152578383;74038;Subs.de Arrasto Marchesan;"DIA-PR-000 - Trocar a porca e os parafusos das sapatas
"
152579288;360156;Volkswagen 31.320 CNC 6x4;"A_SS_S_MEC_2,00_2 - Inspeção realizada na estrutura - Ajustar chapa de trava do parafuso do tirante L/E da tração traseira, lona de freio da tração lado direito dentro do limite preventivo, reapertar grampo do implemento no chassis lado direito atras do tanque diesel, reapertar parafuso do suporte do eixo da caçamba lado esquerdo na traseira, acima da lanterna, reapertar parafuso do suporte do coxim do cambio lado direito
"
152579455;66135;S.Reboque Randon 9,60 M;"A_SS_S_SOL_32,00_2 - Inspeção realizada na estrutura - Serviço de solda no assoalho e estrutura inferior do assalho com corrosão, sapata não levanta  ****EQUIPAMENTO ESTÁ BLOQUEADO***
"
152579719;116531;Valtra BH 210I 4x4;"Fixa - Trocar pistão do levante e troca de mangueira hidráulica.
"
152580173;74562;Eliminador Soqueira DMB;"fixa implemento - compra de peças ND 
"
152580431;74518;M.Benz Atego 2730K 6x4;"SETOR-CAMINHÕES  -  MOTIVO-TROCAR MANGUEIRA DO COMPRESSOR  -  SOLICITANTE-FABIANO APARECIDO
"
156165528;72202;John Deere 8270R 4X4;"OS LAUDO - 119883708
"
156167283;117548;John Deere 3520 Colhedora;"A_VZ_I_MEC_2,00_2 - Inspeção realizada no sistema hidraulico - Retirar vazamento na caixa de bombas, vazamentos nos porticos das bombas
"
156167284;117548;John Deere 3520 Colhedora;"A_VZ_S_MEC_1,00_1 - Inspeção realizada na caixa facão picador - Retirar vazamento na caixa de engrenagens do facão picador
"
156167285;117548;John Deere 3520 Colhedora;"A_VZ_S_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - Retirar vazamento na valvula da topadeira, abaixo da cabine valvula apresenta vazamento
"
156167090;100775;Case Puma 230 4x4;"A_MT_P_0,10_1,00 - Inspeção realizada no sistema de motor. Trocar tampa da carcaça do filtro de ar do motor. Esta quebrada.  8138927_1MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO .RETIRADO DELICADO 
"
156167676;71891;Valtra BH 210I 4x4;"Fixa - Corrigir embreagem.
"
156167743;103942;Quebra Lombo Sermag;"compra de bicos 
"
165488206;139520;John Deere CH570 1L Colhe;"A_MT_P_1,00_1,00 - Inspeção realizada nosistema do motor. Colocar a mangueira do respiro do motor, está sem 8091881_1, 8148118_1.
"
165488208;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 - REVISAR ESTEIRA TRANSPORTADORA 8117189_10 8015289_26 6041909_40 6041908_40
"
165488214;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 - REVISAR ESTEIRA TRANSPORTADORA 8117189_10 8015289_26 6041909_40 6041908_40
"
165488215;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 - REVISAR ESTEIRA TRANSPORTADORA 8117189_10 8015289_26 6041909_40 6041908_40
"
165488216;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 - REVISAR ESTEIRA TRANSPORTADORA 8117189_10 8015289_26 6041909_40 6041908_40
"
165488217;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 - REVISAR ESTEIRA TRANSPORTADORA 8117189_10 8015289_26 6041909_40 6041908_40
"
165488218;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 - REVISAR ESTEIRA TRANSPORTADORA 8117189_10 8015289_26 6041909_40 6041908_40
"
156167835;96674;Volkswagen 31.280 CRM 6x4;"APÓS INSPEÇÃO EQUIPAMENTO ENCAMINHADO PARA OFICINA FIXA: PONTA DA MOLA MESTRE TRASEIRA L/E QUEBRADA, ESPELHO RETROVISOR L/E QUEBRADO E VIDRO PORTA L/E NÃO FECHA
"
165488222;101510;John Deere CH670 1LRevamp;"A_OT_P_MEC_1,00_1,00 - Inspeção realizada no sistema diesel. Trocar cinta do tanque diesel, esta danificada.         8140623_1
"
156167839;103186;GVMF 24 X 32 X 9,0 DR;"compra de discos 
"
156168614;7011578;John Deere 7225 J 4x4;"Fixa - Revisar para operar - Não engata marchas - Ordem Corretiva 152577828
"
156168125;38086;Eliminador Soqueira DMB;"Reforma de implemento
"
156168901;96672;Volkswagen 31.280 CRM 6x4;"Número da Amostra: 2401004274 Status da amostra: ANORMAL Nome do compartimento: Nome do compartimento: 103 Subsistema lubrificação
Avaliação:  Encontrada moderada concentração de Ferro e Silício. Ações de inspeção:  Na próxima parada programada do equipamento, verificar as condições dos filtros de ar, assentamento da tampa, aperto das abraçadeiras, nível de óleo no cárter e possível presença de partículas de desgaste no filtro de óleo. Enviar nova amostra no intervalo recomendado. ****EQUIPAMENTO ESTÁ EM TERCEIRO - ORDEM SERÁ TRATADA ASSIM QUE RETORNAR - REGULARIZAÇÃO DA OS 152573047****

"
165487076;117548;John Deere 3520 Colhedora;"M_OT_S_MEC_2,00_2 - Inspeção realizada na estrutura - Serviço de ajuste da porta do radiador, esta com a estrutura danificada 
"
165486795;97770;MB Axor 3131 6x4 Comboio;"compra de item nd 
"
165487801;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - DESMONTAR COBRIDOR E DESTORRADOR
"
165487804;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - DESMONTAR COBRIDOR E DESTORRADOR
"
165487805;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - DESMONTAR COBRIDOR E DESTORRADOR
"
165487806;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - DESMONTAR COBRIDOR E DESTORRADOR
"
165487807;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - DESMONTAR COBRIDOR E DESTORRADOR
"
165488191;100779;Case Puma 230 4x4;"A_OT_P_MEC_2,00_2,00 - Inspeção realizada no sistema da cabine. Trocar os amortecedores da cabine L/E e L/D. estão danificados.  8138302_2          f-203

"
165488209;50929;Case Puma 230 4x4;"A_OT_P_MEC_1,00_1,00 - Inspeção realizada no sistema diesel. Trocar cinta do tanque diesel, esta danificada.         8143931_1         f-201
"
165487808;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - DESMONTAR COBRIDOR E DESTORRADOR
"
165487809;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - MONTAR COBRIDOR E DESTORRADOR
"
165487810;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - MONTAR COBRIDOR E DESTORRADOR
"
165487811;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - MONTAR COBRIDOR E DESTORRADOR
"
165487812;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - MONTAR COBRIDOR E DESTORRADOR
"
165487813;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - MONTAR COBRIDOR E DESTORRADOR
"
165487814;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA_2,00_2 - MONTAR COBRIDOR E DESTORRADOR
"
165487825;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA - REVISAR E TROCAR OLEO DO BOMBA DO INSETICIDA  ( BP75 )  15W40 OLEO UTILIZADO
"
165487826;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA - REVISAR E TROCAR OLEO DO BOMBA DO INSETICIDA  ( BP75 )  15W40 OLEO UTILIZADO
"
165487827;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA - REVISAR E TROCAR OLEO DO BOMBA DO INSETICIDA  ( BP75 )  15W40 OLEO UTILIZADO
"
165487828;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA - REVISAR E TROCAR OLEO DO BOMBA DO INSETICIDA  ( BP75 )  15W40 OLEO UTILIZADO
"
165487829;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA - REVISAR E TROCAR OLEO DO BOMBA DO INSETICIDA  ( BP75 )  15W40 OLEO UTILIZADO
"
165487830;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA - REVISAR E TROCAR OLEO DO BOMBA DO INSETICIDA  ( BP75 )  15W40 OLEO UTILIZADO
"
165487846;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA 8,00_1 - REVISAR\TESTAR SISTEMA DE AUTOMAÇÃO
"
165487847;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA 8,00_1 - REVISAR\TESTAR SISTEMA DE AUTOMAÇÃO
"
165487848;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA 8,00_1 - REVISAR\TESTAR SISTEMA DE AUTOMAÇÃO
"
165487849;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA 8,00_1 - REVISAR\TESTAR SISTEMA DE AUTOMAÇÃO
"
165487850;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA 8,00_1 - REVISAR\TESTAR SISTEMA DE AUTOMAÇÃO
"
165487851;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA 8,00_1 - REVISAR\TESTAR SISTEMA DE AUTOMAÇÃO
"
165488127;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - DESMONTAR EIXO TANDEM
"
165488128;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - DESMONTAR EIXO TANDEM
"
165488129;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - DESMONTAR EIXO TANDEM
"
165488130;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - DESMONTAR EIXO TANDEM
"
165488131;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - DESMONTAR EIXO TANDEM
"
165488132;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - DESMONTAR EIXO TANDEM
"
165488133;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - MONTAR EIXO TANDEM
"
165488136;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - MONTAR EIXO TANDEM
"
165488137;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - MONTAR EIXO TANDEM
"
165488138;103506;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - MONTAR EIXO TANDEM
"
165488139;140067;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - MONTAR EIXO TANDEM
"
165488140;361219;Plant.Cana TMA 2 Linhas;"E_SAFRA_5,00_2 - MONTAR EIXO TANDEM
"
165488161;37062;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -  MONTAR PLANTADORA APOS REVISAR
"
165488162;103504;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -  MONTAR PLANTADORA APOS REVISAR
"
165488163;103505;Plant.Cana TMA 2 Linhas;"E_SAFRA 16,00_2 -  MONTAR PLANTADORA APOS REVISAR
"
